Data,433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal,3695 - Taxa de câmbio - Livre - Dólar americano (compra) - Fim de período - mensal - u.m.c./US$,4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões),4469 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governo Federal - R$ (milhões),4470 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Banco Central - R$ (milhões),4472 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governos estaduais - R$ (milhões),4473 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governos municipais - R$ (milhões),13761 - Dívida bruta do governo geral - Saldos em R$ milhões - Metodologia utilizada a partir de 2008 - R$ (milhões),13762 - Dívida bruta do governo geral (% PIB) - Metodologia utilizada a partir de 2008 - %,"13763 - Dívida bruta do governo geral - Saldos em US$ milhões - Metodologia utilizada a partir de 2008 - US$ (milhões),,,,,,,,,,",4189 - Taxa de juros - Selic acumulada no mês anualizada base 252 - % a.a.,"4390 - Taxa de juros - Selic acumulada no mês - % a.m.,,","29037 - Endividamento das famílias com o Sistema Financeiro Nacional em relação à renda acumulada dos últimos doze meses (RNDBF) - %,"
10/2010,"0,75 ","1,7006 ","350.938,6 ","1.019.026,28 ","-39.669,14 ","372.024,17 ","61.709,14 ","2.087.755,65 ","55,07 ","1.227.658,27","10,66 ","0,81","32,94"
11/2010,"0,83 ","1,7153 ","358.431,8 ","1.030.095,79 ","-41.085,17 ","376.070,81 ","62.187,29 ","2.099.149,01 ","54,65 ","1.223.779,52","10,66 ","0,81","33,46"
12/2010,"0,63 ","1,6654 ","347.999,5 ","1.044.518,15 ","-43.401,37 ","387.502,86 ","63.263,54 ","2.011.521,66 ","51,77 ","1.207.830,95","10,66 ","0,93","33,97"
01/2011,"0,83 ","1,6726 ","327.592,4 ","1.045.669,08 ","-44.957,18 ","387.084,77 ","63.293,63 ","2.058.854,32 ","52,40 ","1.230.930,48","10,85 ","0,86","34,10"
02/2011,"0,80 ","1,6604 ","332.316,4 ","1.062.416,83 ","-47.729,12 ","388.286,00 ","63.924,66 ","2.083.421,75 ","52,37 ","1.254.770,99","11,17 ","0,84","34,23"
03/2011,"0,79 ","1,6279 ","356.621,8 ","1.073.244,14 ","-45.058,11 ","389.067,86 ","64.745,76 ","2.112.891,09 ","52,61 ","1.297.924,37","11,62 ","0,92","34,86"
04/2011,"0,77 ","1,5725 ","354.607,7 ","1.084.394,89 ","-46.437,17 ","390.091,16 ","65.458,97 ","2.135.389,03 ","52,61 ","1.357.958,5","11,74 ","0,84","34,90"
05/2011,"0,47 ","1,5791 ","368.282,8 ","1.098.179,36 ","-49.152,69 ","391.390,02 ","66.115,19 ","2.146.725,96 ","52,22 ","1.359.461,69","11,92 ","0,99","35,12"
06/2011,"0,15 ","1,5603 ","363.821,7 ","1.112.485,93 ","-51.605,39 ","390.557,27 ","66.014,86 ","2.177.090,41 ","52,35 ","1.395.302,45","12,10 ","0,96","35,29"
07/2011,"0,16 ","1,5555 ","367.341,3 ","1.117.200,97 ","-52.436,37 ","390.351,35 ","66.412,91 ","2.204.280,74 ","52,52 ","1.417.088,23","12,25 ","0,97","35,36"
